ID,碑名,建立年,所在地,災害名,災害種別,伝承内容,緯度,経度
06364-001,防災記念碑,1979,山形県最上郡真室川町大字木ノ下,真室川災害（1975年8月6日）,洪水・土砂災害,"昭和50年(1975)８月6日、町内上流域の集中豪雨により真室川の堤防が決壊し、大滝地区では土石流が発生した。死者4人、行方不明者1人、家屋全壊53戸、床上浸水331戸、耕地等の冠水は3,407haに及んだ。",38.861507,140.248852
06401-001,羽越災害記念碑,1984,山形県西置賜郡小国町大字岩井沢７０４,羽越水害（1967年8月28日）,洪水・土砂災害,昭和42年(1967)8月28日から29日にかけて降り続いた豪雨は日雨量532ミリを記録し大洪水となった。この未曾有の大災害により小国町では死者２名、家屋63棟全壊流失のほか、農地、交通通信施設など、被害額は当時の町予算20年分に及んだ。碑に当時の水位が刻まれている。,38.056485,139.747993
07204-001,東日本大震災追悼伝承之碑,2018,福島県いわき市久之浜町久之浜字東町115,東日本大震災（2011年3月11日）,地震・津波,平成23（2011）年3月11日午後2時46分、三陸沖を震源とする巨大地震が発生し、東北・関東地方の沿岸部に大津波が押し寄せた。久之浜地区でも最大震度6弱の激しい揺れが5分ほど続き、午後3時30分ごろ、波高7.45ｍの巨大津波（第2波）が家々を襲い、田之網、久之浜、金ケ沢、末続地区で607世帯が被災し、59名の尊い命が失われた。大地震が起きたら大津波が来る。直ぐ逃げろ、高台へ。一度逃げたら絶対戻るな。,37.142151,140.999659
07204-002,東日本大震災之碑,2018,福島県いわき市久之浜町末続字岸内60,東日本大震災（2011年3月11日）,地震・津波,平成23年（2011）3月11日に発生した、いわゆる東日本大震災と称される波高10メートルの大津波が当地区を襲来、犠牲者7名・流失及び同等家屋27戸の被害となった。,37.173532,140.99702
07204-003,東日本大震災慰霊碑,2019,福島県いわき市平豊間字下町149-1,東日本大震災（2011年3月11日）,地震・津波,平成23年（2011）3月11日、豊間地区は東日本大震災に伴う高さ8.5mの大津波に襲われ、壊滅的な被害を受けた。流失家屋は400戸を超え、住民85名もの尊い命が失われた。大地震の教訓の継承と安全で住みよい「ふるさと豊間」の再生を願い、この碑を建立する。,36.98658,140.96796
07205-001,2011.3.11 東日本大震災　復興の記念碑,2016,福島県白河市葉ノ木平110番地,東日本大震災(2011年3月11日）,土砂災害・地震,東日本大震災(2011)では白河市は震度６強の強い揺れを観測し、ここ葉ノ木平地区では、山の崩落で１３人のほか、萱根地区では瓦の落下で１人、大信隈戸では土砂崩れで１人が巻き込まれ、市内合わせて１５名が亡くなった。,37.138139,140.218083
07207-001,慰霊碑,2021,福島県須賀川市滝字本郷97-2（滝地区防災公園）,東日本大震災による藤沼湖決壊(2011年3月11日）,地震・その他,平成23年（2011）3月11日午後2時46分に発生した東日本大震災によって、須賀川市は震度6強を観測し、農業用ダムである藤沼湖の堰堤が決壊、約150万トンの水が鉄砲水となって下流地域を襲った。滝・北町地区で7名の尊い命が奪われ、1名が行方不明、家屋流失全壊22戸、山林・田畑の土壌流失等の被害が発生し、稲作にも多大な影響を及ぼした。,37.30815,140.203342
07405-001,大杉山村慶長地震遭難者供養塔,1752,福島県耶麻郡西会津町下谷字如法房,慶長会津地震(1611年9月27日),土砂災害・地震,慶長16年（1611）9月27日（旧暦8月21日）昼、会津地方を大地震が襲った。この地震により、飯谷山で大規模な地すべりが発生して山麓の大杉山村が土砂に埋まってしまい、100名を超える人々が亡くなった。,37.524978,139.676808
07542-001,東日本大震災復興記念碑,2015,福島県双葉郡楢葉町大字北田字上ノ原地内,東日本大震災（2011年3月11日）,地震・津波,平成23年（2011）3月11日、東日本大震災によって巨大地震・大津波・福島第一原発事故が発生した。この大災害により楢葉町は、犠牲者13名、浸水面積2.6平方キロメートル、津波被災家屋125戸の被害を蒙った。復興への願いと希望の思いを記し、震災の記憶と震災で学んだ教訓を後世へ伝える。,37.266087,141.013081
07542-002,東日本大震災慰霊碑,2017,福島県双葉郡楢葉町大字波倉字坊ノ下地内　龍蔵寺内,東日本大震災（2011年3月11日）,地震・津波,平成23年（2011）3月11日、東日本大震災によって楢葉町は震度6強の揺れと大津波に襲われた。波倉地区では、高さ十数メートルの津波により避難誘導中の消防団員を含む8名が犠牲になり、家屋の大部分（25軒）が流失した。犠牲者の御霊を慰め、津波の恐ろしさを後世に伝える。「大地震だ！津波が来るぞ！高台に逃げろ！」,37.307542,141.020358
07542-003,ふるさと祈念碑,2019,福島県双葉郡楢葉町大字山田浜字後地内　旧津之神社内,東日本大震災（2011年3月11日）,地震・津波,平成23年（2011）3月11日、東日本大震災によって楢葉町は震度6強の揺れと10メートルを超える大津波に襲われた。山田浜地区では、津波により1名が犠牲になり全家屋（25世帯）が流失した。更に、福島第一原発事故が発生。ふるさとを失った人々の安らかな繁栄ある生活を願い、震災の記憶を後世に伝える。,37.254119,141.012317
08201-001,洪水記念,1939,茨城県水戸市柳河町（柳河小学校）,昭和13年洪水（1938年6月ほか）,洪水,昭和13年(1938)6月の那珂川の氾濫により、柳河村では家屋の被害（半壊7軒、流出6軒、浸水が442軒）、千歳橋と万代橋が流出する被害が発生した。当時の戸数が460戸だったことから、ほとんどの世帯が被害を被った。この年は３ヶ月の間に３回の洪水が発生しており、被害を後世に残すよう、石碑には増水した水位が記されている。,36.396553,140.469853
08201-002,洪水記念,1939,茨城県水戸市上河内町547（素鵞神社）,昭和13年洪水（1938年6月ほか）,洪水,昭和13年(1938)は那珂川の氾濫により３ヶ月の間に３回の洪水が発生し、県下では崖や道路の崩落、橋や家屋の流失、耕地の埋没などの大被害が発生し、この村も大きな被害を被った。特に9月1日の氾濫では上流側の栃木県の降水量が多かったため濁流となり、流域各地は泥海となった。天災は逃れる事はできないが、人の力が及ぶ範囲は努力しなければならない。,36.421766,140.451858
08201-003,戊寅水難之碑,1940,茨城県水戸市文京２丁目5-12（笠原神社）,昭和13年洪水（1938年6月ほか）,洪水,昭和13年(1938)6月の豪雨で、旧渡里村では那珂川の氾濫により、床上約60cm浸水した。また、9月の上流での豪雨でも増水して、川沿いの低地が浸水、水は軒まで達し、死者3名、家屋流失数戸などの大惨事となった。浄水場も浸水の危機にさらされたが、人々の懸命の努力により守られた。,36.403056,140.444109
08201-004,洪水記念,1939,茨城県水戸市白梅4-7（金刀比羅神社）,昭和13年洪水（1938年6月）,洪水,昭和13年(1938)6月28日から約10日間にわたって降り続いた雨は累計600mmにも達し、洪水が境内に達して社殿が浸水した。被害を後世に残すよう、標柱の上面は洪水の水位を表している。,36.363289,140.48654
08208-001,要石建立由来之碑,1956,茨城県龍ケ崎市川原代町,昭和16年第二次水害（1941年7月23日）,洪水・土砂災害,昭和16年（1941）7月21日に上陸した台風による暴風雨によって小貝川左岸堤防の決壊やがけ崩れが発生した。これにより、小通幸谷地区では22戸の家屋が倒壊した。,35.924367,140.132633
08208-002,決壊口の跡,1988,茨城県龍ケ崎市川原代町,昭和56年台風15号(1981年8月24日),洪水,昭和56年（1981）8月24日に関東地方に直撃した台風第15号による暴風雨によって小貝川左岸堤防が決壊した。幸い犠牲者は1人も出さなかったが、田畑762.5haが冠水し、水稲被害は18億円に及んだ。,35.903797,140.150169
08208-003,決潰口の跡,1955,茨城県龍ケ崎市川原代町,昭和16年第二次水害(1941年7月23日),洪水,昭和16年(1941)7月23日19時、小貝川左岸の堤防の役割も果たしていた常磐線の盛土した線路敷で越水がおこり、決壊した。台風の影響を受けた梅雨前線により大雨となり、さらに台風の上陸による豪雨が重なり大出水となったことで、牛久沼沿岸一帯は大水害となり、脇にあった常磐線の線路も洪水で流された。,35.923952,140.131994
08208-004,浸水碑,不明,茨城県龍ケ崎市8342番地,昭和56年台風15号(1981年8月24日),洪水,"昭和56年（1981）、台風15号により上流の栃木県が暴風雨に入り、台風一過から20時間近く経った8月24日午前2時頃、小貝川堤防（龍ヶ崎市高須地先）が増水で決壊、浸水面積34平方キロメートル、浸水家屋5,540戸に及ぶ莫大な災害となった。龍ケ崎市では、浸水面積19平方キロメートル、浸水家屋5,179戸に及んだ。",35.903049,140.172616
08208-005,大洪水位記録碑,不明,茨城県龍ケ崎市米町,洪水（1935年9月26日）昭和13年洪水（1938年6月29日）昭和16年第二次水害（1941年7月23日）,洪水,寛保2年（1742）以降、小貝川における堤防決壊による洪水は14回起こっている。本碑には、そのうち昭和10年（1935）9月26日、同13年（1938）6月29日及び同16年（1941）7月23日に市内を襲った水災の水位を記録している。当初の建立地から移設されている。,35.904214,140.176038
08211-001,決壊の跡,2017,茨城県常総市三坂町,平成27年9月関東・東北豪雨（2015年9月10日）,洪水,平成27年（2015）9月10日、関東地方から東北地方にかけて多数の線状降水帯が次々と発生し、鬼怒川で堤防が決壊した。市域の約3分の1が浸水、決壊地点では建物が流失し、浸水が解消するまでに10日間を要した。,36.097587,139.965156
08211-002,水害復興の碑,2018,茨城県常総市本石下,平成27年9月関東・東北豪雨（2015年9月10日）,洪水,平成27年（2015）9月10日、数日間降り続いた大雨により、若宮戸地先では、約1600mにわたり地形的に河畔砂丘であった無堤防区間の二箇所から溢水が始まり、若宮戸地区を含む玉地区全域が浸水した。,36.13021,139.959219
08211-003,関東東北豪雨実績浸水深碑,2016,茨城県常総市水海道諏訪町3222番地3,平成27年9月関東・東北豪雨（2015年9月10日）,洪水,平成27年(2015)9月10日、数日間降り続いた豪雨により鬼怒川堤防が決壊し、市域の3分の1が浸水した。この碑上部の横線が常総市役所水海道庁舎構内の浸水深を示している。,36.023236,139.993965
08211-004,決壊口の跡碑,1991,茨城県常総市本豊田地先堤防中段上,洪水（1986年8月6日）,洪水,昭和61年（1986）8月6日、台風10号がもたらした豪雨により小貝川堤防が決壊。本豊田・曲田・福二・三坂新田・沖新田・中山の集落で304棟299世帯が浸水被害を受け、田畑993haが水没した。,36.106004,139.998838
08211-005,水災記念碑,1938,茨城県常総市橋本町明橋畔,洪水（1938年7月1日）,洪水,昭和13年（1938）7月1日、小貝川豊田地先の堤防決壊により、旧水海道町域では全戸数の9割が水没した。上流の三妻・五箇・大生地区の被害も甚大で、3万6千8百人が救助されたという。,36.025061,139.990491
08211-006,大洪水位記録碑,不明,茨城県常総市橋本町御城公園内,洪水（1938年7月1日）（1941年7月24日）,洪水,昭和13年（1938）7月1日及び同16年（1941）7月24日に旧水海道町を襲った水災の水位を記録している。かつては明橋北側に「水災記念碑」と並んで設置されていたが、八間堀川の改修により堤防が嵩上げされるに至り、洪水水位記録を維持するため、現地に移された。,36.025429,139.989676
08212-001,久慈川改修記念碑,1959,茨城県常陸太田市上河合町,洪水（1786年）ほか,洪水,久慈川では明治以降昭和20年代まで34回もの大洪水や風水害の記録がある。豪雨に襲われると河川は幾度も氾濫、山崩れを誘発し、あるいは堤防を決壊して、たびたび人命を奪った。碑には天明6年（1786）以降、アイオン台風（昭和23年（1948））に至る洪水被害の歴史とともに、河川改修整備の経過が記されている。,36.504111,140.516459
08212-002,更生（こうせい）,1940,茨城県常陸太田市西宮町856,昭和13年洪水（1938年6月）,洪水,昭和13年（1938）6月、台風により里川で堤防が決壊し、濁流が勢いよく流れ、辺り一面泥海のようになり、耕地が流失し土砂が堆積した。碑のある西宮地区では30ha以上の耕地が甚大な被害を受けた。,36.548447,140.537764
08215-001,鮟鱇～復興への願いを込めて～,2013,茨城県北茨城市平潟町,東日本大震災（2011年3月11日）,地震・津波,平成23(2011)年3月11日、東北地方太平洋沖地震は、北茨城市でも震度6弱の強い揺れと最大6.7mの大津波を起こし、死者5名の尊い命を奪う甚大な被害をもたらした。このモニュメントは北茨城市の魚である鮟鱇（アンコウ）に被災地の安寧と復興に願いを込め設置された。,36.856187,140.793342
08215-002,TOMORROW,2015,茨城県北茨城市関南町仁井田,東日本大震災（2011年3月11日）,地震・津波,平成23(2011)年3月11日、未曾有の大地震が我が町大津を襲った。東日本大震災は、港を破壊し、民家を壊し、多くの暮らしを奪った。北茨城市では震度6弱の強い揺れと最大6.7mの大津波を起こし、死者5名、行方不明1名の被害があった。碑には、決してこの震災を忘れず、いつまでも後世に語り継ぐ決意をし、もう、一人の犠牲者も出さないことに心しようと記されている。,36.829335,140.784207
08215-003,祈りの碑,2014,茨城県北茨城市大津町,東日本大震災（2011年3月11日）,地震・津波,平成23(2011)年3月11日、東北地方太平洋沖地震は、北茨城市で最大震度6弱の強い揺れと最大6.7mの大津波を起こした。市内では死者5名、行方不明者1名、関連死5名、家屋全壊433戸等の被害となった。碑には、追悼と理想の郷土への祈りを込めた短歌が記されている。,36.831546,140.804429
08215-004,東日本大震災記録碑,2015,茨城県北茨城市磯原町磯原,東日本大震災（2011年3月11日）,地震・津波,"平成23(2011)年3月11日14時46分、東北地方太平洋沖地震による震度6弱の強い揺れと最大6.7mの津波が北茨城市を襲った。15時31分に到達した津波は、一瞬に死者5名、行方不明者1名の命を奪った。市内の被災家屋は全半壊2,400戸を越えた。碑には当地の津波到達地点4.4mが刻まれている。",36.795587,140.756434
08215-005,東日本大震災記録碑,2015,茨城県北茨城市関南町仁井田,東日本大震災（2011年3月11日）,地震・津波,"平成23(2011)年3月11日14時46分、東北地方太平洋沖地震による震度6弱の強い揺れと最大6.7mの津波が北茨城市を襲った。15時31分に到達した津波は、一瞬に死者5名、行方不明者1名の命を奪った。市内の被災家屋は全半壊2,400戸を越えた。碑には当地の津波到達地点4.3mが刻まれている。",36.830567,140.784814
08215-006,東日本大震災記録碑,2015,茨城県北茨城市平潟町,東日本大震災（2011年3月11日）,地震・津波,"平成23(2011)年3月11日14時46分、東北地方太平洋沖地震による震度6弱の強い揺れと最大6.7mの津波が北茨城市を襲った。15時31分に到達した津波は、一瞬に死者5名、行方不明者1名の命を奪った。市内の被災家屋は全半壊2,400戸を越えた。碑には当地の津波到達地点6.7mが刻まれている。",36.856137,140.795264
08217-001,決潰口の跡,1955,茨城県取手市大留,洪水（1950年8月7日）,洪水,昭和25年（1950）8月7日、利根川上流での豪雨で利根川の水位が上昇し、小貝川との合流付近で利根川本線からの逆流を受け、小貝川堤防がこの地で約220m決壊した。浸水家屋が低地の農村部全般に及び、また、排水が悪いため湛水期間が長びき、農作物に大きな被害を及ぼした。,35.892744,140.142331
08217-002,竣工記念碑,1985,茨城県取手市大留（八幡神社）,洪水（1950年8月5日）,洪水,昭和10年（1935）9月にこの地の対岸で、昭和16年（1941）7月に対岸の旧川原代村小通幸谷地先で、昭和25年（1950）8月にこの地で、昭和56年（1981）8月に対岸の高須で小貝川の堤防が決壊した。水害を防ぐよう、何度も河川改修工事が行われ、八幡神社と公民館はやむなくこの地に移転となった。,35.893407,140.142119
08217-003,内堤記念碑,1936,茨城県取手市神浦（水神宮）,洪水（1902年）,洪水,明治35年(1902）、未曽有の洪水が発生し、田畑が冠水して食べ物を失った。そこで住民らは、自己の土地を担保にして銀行より資金を借り、耕地に堤防を建設した。,35.891347,140.132815
08217-004,決潰口の跡,1955,茨城県取手市高須,洪水（1935年9月26日）,洪水,"昭和10年(1935)、台風の前面に伴う温暖前線によって起こされた利根川上流山地内での豪雨により利根川の水位が上昇し、逆流によって小貝川の左岸堤防がこの地で決壊した。これによる旧高須村の被害は、浸水面積約10,000ha、浸水家屋4,693戸に及んだ。",35.900373,140.150108
08225-001,築堤記念碑,1952,茨城県常陸大宮市野口,洪水（1938年9月1日、1941年7月22日）,洪水,昭和13年(1938)9月1日と昭和16年(1941)7月22日の豪雨では、天明年間以来の大洪水が発生した。水位は8mに及び、野口地区は濁流に襲われ、耕地は20haが流され、家屋は約30棟が浸水し、被災者は約200名に及んだ。,36.558972,140.310715
08233-001,洪水の碑,1989,茨城県行方市玉造甲地先　,洪水（1938年6月～7月）,洪水,"昭和13年(1938)6月から7月にかけて、台風の影響を受けた前線による大雨が原因で霞ヶ浦の水位が上昇して洪水が発生。冠水被害は数十日にも及び、死者45人、床上・床下浸水81,739戸の大災害となった。",36.096718,140.401647
08364-001,明治二十三年洪水被害紀念碑,1891,茨城県久慈郡大子町大字池田（国道118号法面）,洪水（1890年8月7日）,洪水,明治23年（1890）8月7日、前日からの大雨により久慈川沿岸は大洪水に見舞われ、吉田神社境内には約1.5mの洪水が押し寄せた。人や家畜が流され、田畑や家屋も流失して大きな被害となった。,36.788301,140.361272
08364-002,可恐（おそるべし）,不明,茨城県久慈郡大子町大字久野瀬111-1（諏訪神社入口）,洪水（1890年8月7日）,洪水,明治23年（1890）年8月7日、久慈川は大洪水に見舞われ、河川の水位は平時と比べて約6m増水し、建立時に碑のあった場所まで浸水した。旧大子村の被害は溺死者4名、流失家屋13棟、浸水家屋250戸余を数え、町家の大半が浸水した。碑は建立時より約1m低い位置に移設されている。,36.761938,140.379607
08364-003,可恐（おそるべし）,不明,茨城県久慈郡大子町大字袋田1972-10,洪水（1890年8月7日）,洪水,明治23年（1890）8月7日、久慈川は未曽有の大洪水に見舞われ、河川の水位は平時と比べて約6.6m増水した。この地域では、田畑約3.7haが流された。旧大子村の被害は溺死者4名、流失家屋13棟、浸水家屋250戸余を数え、町家の大半が浸水した。碑は建立時より高い位置に移設されている。,36.75663,140.379516
09202-001,渡良瀬川とともに,2000,栃木県足利市岩井町,カスリーン台風（1947年）,洪水,"昭和22(1947)年9月14日から15日にかけて接近したカスリーン台風により、関東地方では大水害が発生。死者・行方不明者数は、利根川水系で1,100人にものぼり、そのうち渡良瀬川流域では約3分の2を占める709人、足利市でも319人が犠牲となった。石碑横にはシンボルタワーと市街地から移設された地蔵尊及び供養塔がある。",36.324893,139.462847
09206-001,砂防塔,1970,栃木県日光市所野,洪水・土石流（1902年、他）,洪水・土砂災害,日光の河川は、古くは天長4年（824）、天文年中（1532～1534）、寛文2年（1662）稲荷川の大洪水や土石流、近くは明治35年（1902）足尾台風など大災害に襲われ、そのたびに周辺の住民は多数の死者を出し、田畑や橋を失うなど甚大な被害を被ってきた。,36.74885,139.631898
09206-002,稲荷川水難供養塔,1663,栃木県日光市日光,洪水・土石流（1662年7月28日）,洪水・土砂災害,寛文2年(1662)6月（旧暦）、大雨により大谷川と稲荷川で大洪水が発生。上流で発生した土砂災害が下流域で大規模な被害をもたらした。赤薙山からは巨礫が流れ出し、当時、山内東側の稲荷川沿いにあった稲荷町を押し流し、死者140人余ともいわれる大惨事となった。,36.746649,139.613916
09206-003,中宮祠小学校　校舎流失慰霊の碑,1983,栃木県日光市中宮祠,足尾台風（1902年9月28日）,土砂災害,明治35年（1902）9月28日、関東一帯を襲った大暴風雨により、中宮祠小学校を土石流が襲った。土石流は校舎もろとも、教師一家3人を中禅寺湖まで押し流し、命を奪った。,36.741589,139.486176
09206-004,震災復興記念碑,1952,栃木県日光市板橋,今市地震（1949年12月26日）,地震,昭和24年（1949）12月26日の明け方に旧今市市で発生した地震により、10名の尊い命が失われた。この地震により、100年以上に渡って住民生活を支えた二宮堀は一瞬にして壊滅し、復旧までに２年かかった。,36.643487,139.724986
09206-005,今市地方震災横死者供養塔,1957,栃木県日光市平ケ崎,今市地震（1949年12月26日）,地震,昭和24年（1949）12月26日の午前8時に旧今市市を中心とした地域は突如強い揺れに襲われ、10名の尊い命と多くの住民の生活基盤を失った。碑には亡くなった10名の住所（集落名）と名前が記されている。,36.710455,139.678724
09206-006,震災記念碑,1950,栃木県日光市今市,今市地震（1949年12月26日）,地震,昭和24年（1949）12月26日午前8時18分、旧今市町を中心とした当時の二町九ヶ村は、強い揺れに襲われた。山は崩れ、大地は裂け、井戸は枯れ、家屋は傾きまた倒れ、人命も奪われた。しかし、町民の協力により火災は起きなかった。,36.724942,139.681162
09206-007,中原用水震災復旧記念碑,1952,栃木県日光市明神,今市地震（1949年12月26日）,地震,昭和24年（1949）12月26日、前例のない地震災害により、トンネルや堰堤（えんてい）、用水堀が全面的に埋没し、多くの住民の生活基盤を失った。関係者の賢明な努力により、5カ月で復旧した。,36.69284,139.709299
09206-008,紡績堀　二宮堀震災復旧紀念碑,1951,栃木県日光市板橋,今市地震（1949年12月26日）,地震,昭和24年（1949）12月26日明け方の大地震により、紡績堀、二宮堀が崩壊し、500haの耕地のかんがい用水を絶たれてしまった。影響は住民1万人あまりに及んだ。関係者の賢明な努力により、復旧工事はわすか1年3ヶ月で完了した。,36.674493,139.723737
09206-009,震災復旧記念碑,1953,栃木県日光市吉沢,今市地震（1949年12月26日）,地震,昭和24年（1949）12月26日午前8時に突如、鳴動と共に激震が襲った。水路は破壊され、農地には亀裂が起こり、道路の被害は甚大となり、人々は生活基盤を失った。このため地区一帯となって協力して復旧工事を進め、2年余りで完成した。,36.708782,139.704096
09206-010,震災記念碑,1950,栃木県日光市山久保,今市地震（1949年12月26日）,地震,昭和24年（1949）12月26日午前8時18分に大地震（今市地震）に襲われ、当時の二町九ヶ村が大被害を被った。山は崩れ、大地は裂け、家屋は傾き、人命も奪われた。しかし、幸いにも火災は起きなかった。ここにある神社も多大な被害を受けた。,36.711363,139.641014
09206-011,震災復興記念,1953,栃木県日光市和泉,今市地震（1949年12月26日）,地震,昭和24年（1949）12月26日午前8時17分、突如として強い揺れに襲われた。山は崩れ、大地は裂け、家屋は傾きまたは倒れ、甚大な被害を受けた。ここにあった神社も被害を受けた。,36.724192,139.664441
09206-012,竣功記念碑,1950,栃木県日光市塩野室町,キティ台風（1949年8月31日～9月1日）,洪水,昭和24年(1949)8月31日から翌9月1日にかけてのキティ台風は、一夜にして堤防を決壊した。これにより流域約1.5haの保安林が流失し、当集落は浸水した。,36.748646,139.786681
09214-001,竣工記念,1950,栃木県さくら市大中,キティ台風（1949年8月31日～9月1日）,洪水,昭和24年(1949)8月31日から翌9月1日にかけてのキティ台風により、鬼怒川の堤防が800mに渡って決壊した。濁流に襲われた大中集落は一夜にして鬼怒川の本流のようになった。第2次世界大戦後の5年に満たない間に発生した、4回目となる洪水であった。,36.684682,139.947021
09214-002,東日本大震災復旧復興記念之碑,2013,栃木県さくら市喜連川,東日本大震災（2011年3月11日） 　平成23年台風15号（2011年9月22日）,土砂災害・地震,平成23年（2011）3月11日、東北地方太平洋沖地震が発生した。震度5強を観測したさくら市では全壊2棟を含む2547棟が被害を受け、お丸山南斜面では東西630mにわたり亀裂が生じ、24世帯に避難勧告が発令された。さらに、同年9月22日、台風15号の豪雨により、お丸山南側が幅50m、長さ100mにわたり崩落し、計61世帯156名に避難勧告が発令され、2年間継続された。,36.717771,140.021146
09343-001,逆川に大洪水あり,不明,栃木県芳賀郡茂木町大字小井戸,台風第10号（1986年）,洪水,"昭和61(1986)年8月4日夜半から5日未明にかけて、東日本を襲った台風10号による集中豪雨のため、逆川流域の茂木町市街地は、一夜のうちに水没し、浸水面積110ha、浸水家屋1,200戸という大きな被害を受けた。碑には当時の洪水位が記されている。",36.534691,140.186173
09343-002,逆川改修記念碑,1990,栃木県芳賀郡茂木町大字飯,台風第10号（1986年）,洪水,昭和61(1986)年8月5日未明、台風10号による豪雨のため、逆川流域は有史以来の大水害を被った。碑の近くには、当時の洪水位を記した洪水痕跡碑が設置されている。,36.481315,140.164009
09407-001,三蔵川災害復旧助成事業竣工記念,2003,栃木県那須郡那須町大字伊王野444,洪水（1999年7月13日）,洪水,平成11年（1999）7月11日明け方からの梅雨前線に伴う降雨は、同月15日まで続き、三蔵川等で大洪水が発生した。被害は、那須町から旧黒羽町にかけて広範囲に及び、家屋流失7戸、床上浸水40戸、床下浸水8戸、農地流失及び土砂堆積、橋梁流失及び道路崩落など多大な被害をもたらした。,36.954993,140.156786
09407-002,余笹川災害復旧事業竣工の碑,2001,栃木県那須郡那須町大字寺子乙2584-6,平成10年8月末豪雨（那須豪雨）（1998年8月27日）,洪水,平成10年（1998）8月26日から31日にかけて、栃木県北東部や福島県南部で局地的な豪雨となった。この豪雨で那珂川上流域の余笹川・黒川・四ツ川では河岸の8割以上が決壊した。被害は栃木県那須町・黒磯市を中心に広範囲に及び、栃木県内の死者は5名、行方不明者2名、家屋の全壊、半壊、浸水は2977棟に及んだ。この碑のそばには、当時の被災水位を示した碑も設置されている。,37.017882,140.111936
09407-003,追悼之碑（山津波の碑）,1907,栃木県那須郡那須町大字湯本178-9,洪水・土石流（1858年7月24日）,洪水・土砂災害,安政5年6月（1858年7月）、大雨は10日余り降りつづき、6月14日（7月24日）の夜には降り続いた長雨により、山は崩れ、谷川は氾濫した。家屋全戸が損傷又は流失し、18名の尊い命が奪われた。その後、災害をまぬがれた住民は南側の岡へ移住し、温泉を引き、今の湯本を築いた。,37.097833,140.001266
09407-004,那須水害復興の碑,2004,栃木県那須郡那須町大字寺子乙4578,平成10年8月末豪雨（那須豪雨）（1998年8月27日）,洪水,平成10（1998）年8月26日から27日未明にかけて那須北部を襲った局地的な集中豪雨で余笹川が氾濫。当地区では下余笹橋附近と下川橋下流が決壊、住宅6戸が床上浸水、納屋6棟や農機具等が流失、収穫目前の水田が冠水・流失、墓地までも流失する甚大な被害となった。,37.002784,140.113473
09407-005,黒川災害復旧助成事業竣工の碑,2002,栃木県那須郡那須町大字梁瀬404,平成10年8月末豪雨（那須豪雨）（1998年8月27日）,洪水・土砂災害・地震,平成10年（1998）8月26日から31日にかけて、栃木県北東部や福島県南部で局地的な豪雨となった。この豪雨で那珂川上流域の余笹川・黒川・四ツ川では河岸の8割以上が決壊した。被害は栃木県那須町・黒磯市を中心に広範囲に及び、栃木県内の死者は5名、行方不明者2名、家屋の全壊、半壊、浸水は2977棟に及んだ。この碑のそばには、当時の被災水位を示した碑も設置されている。,36.94255,140.14
09407-006,四ツ川災害復旧助成事業竣工の碑,2002,栃木県那須郡那須町大字漆塚660-7,平成10年8月末豪雨（那須豪雨）（1998年8月27日）,洪水,"平成10年（1998）8月26日、台風4号に刺激された前線により、那須地区は集中豪雨に襲われた。27日午前1時から2時の1時間に90mm、6日間降り続いた雨は1,254mmを記録し、県内観測史上例を見ない大雨となった。豪雨による被害は那須地区の広範囲に及び、四ツ川の氾濫により沿川の家屋7戸が流失し、35戸が床上浸水、15戸が床下浸水、農地22haが河原と化し、町道橋が3橋流失した。",37.034587,140.091155
09407-007,黒川災害復旧助成事業竣工記念,2002,栃木県那須郡那須町大字豊原乙3537,平成10年8月末豪雨（那須豪雨）（1998年8月27日）,洪水,"平成10年（1998）8月26日夜半、栃木県北部を襲った集中豪雨は、6日間で1,254mm、最大1時間降雨量90mmを記録した。27日未明には黒川が氾濫し、稲穂が実った水田は上流からの大木や石で覆い尽くされた。黒川氾濫による綱子地区の被害は、県道那須西郷線の流失約70m、床上浸水2棟、床下浸水6棟、田畑約17haが流失し河原となった。住民は、夕狩公民館で7日間の避難所生活を強いられた。",37.113888,140.112817
09407-008,那須の大水害から蘇る水田,2004,栃木県那須郡那須町大字寺子乙3625-1,平成10年8月末豪雨（那須豪雨）（1998年8月27日）,洪水,平成10年(1998)年8月、栃木県と福島県境付近を中心に記録的な大雨となった。那珂川の左支川余笹川などの氾濫により、那須町では死者・行方不明者5人、流失・全半壊家屋70棟、床上浸水153棟などの被害が発生し、農業関係の被害は農地629.5haに及んだ。,36.99942,140.113864
09407-009,なら沢川河川改修之碑,1979,栃木県那須郡那須町大字高久甲1064-9,洪水（1977年9月3日）,洪水,昭和52年（1977）9月3日夕刻、黒磯市及び那須町は、すさまじい雷鳴を伴う5時間に渡る集中豪雨に見舞われた。この豪雨により過去に類をみない流失家屋を含む先代未曾有の大被害を被った。,37.00073,140.062017
09407-010,高野川改修記念碑,1980,栃木県那須郡那須町大字高久甲980-7,洪水（1977年9月3日）,洪水,昭和52年（1977）9月3日夕刻、黒磯市及び那須町は、すさまじい雷鳴を伴う5時間に渡る集中豪雨に見舞われた。この豪雨により過去に類をみない家屋田畑を流失する先代未曾有の大被害を被った。,36.996481,140.058598
